ID,DESCRIPTION,COMPLETED,ASIGNEE,CREATED_BY
53,"adipiscing fringilla, porttitor vulputate, posuere",N,7,7
54,"risus. In mi pede, nonummy ut,",N,6,9
55,sit amet nulla.,Y,3,9
56,ante ipsum primis in faucibus,Y,10,5
57,Integer aliquam adipiscing lacus. Ut,Y,3,1
58,porttitor interdum. Sed auctor,N,1,10
59,"imperdiet, erat nonummy ultricies ornare, elit elit fermentum risus,",Y,5,4
60,"natoque penatibus et magnis dis parturient montes,",Y,10,9
61,ipsum primis in,Y,1,5
62,Nam porttitor scelerisque neque. Nullam nisl. Maecenas malesuada,Y,10,9
63,magna. Duis dignissim tempor,N,5,6
64,ornare tortor,Y,2,8
65,"egestas, urna justo faucibus lectus, a sollicitudin orci sem",Y,4,10
66,auctor. Mauris vel turpis.,Y,4,10
67,"Cras vehicula aliquet libero. Integer in magna. Phasellus dolor elit,",N,8,9
68,"est mauris,",Y,7,9
69,Nulla eu neque pellentesque massa lobortis ultrices. Vivamus,N,3,4
70,"erat nonummy ultricies ornare, elit elit",N,9,7
71,erat. Sed nunc,Y,10,7
72,turpis egestas. Aliquam fringilla cursus purus. Nullam,N,3,10
73,"mi fringilla mi lacinia mattis. Integer eu lacus. Quisque imperdiet,",Y,5,4
74,non enim commodo hendrerit. Donec porttitor tellus non,N,6,10
75,"litora torquent per conubia nostra,",Y,6,10
76,"dis parturient montes, nascetur ridiculus mus.",Y,5,2
77,tincidunt,Y,10,4
78,"sociis natoque penatibus et magnis dis parturient montes, nascetur",N,9,1
79,neque. Nullam ut nisi a odio,N,4,1
80,tortor. Integer aliquam adipiscing,Y,3,6
81,arcu. Aliquam ultrices iaculis odio. Nam,Y,7,7
82,"dui. Fusce aliquam, enim nec tempus scelerisque, lorem ipsum",Y,10,9
83,In,N,4,9
84,"eu, ultrices sit",N,9,5
85,nunc,N,7,4
86,"Mauris vestibulum, neque sed dictum eleifend,",Y,4,3
87,Nullam lobortis quam a felis ullamcorper viverra. Maecenas,N,9,3
88,turpis. Nulla aliquet. Proin velit. Sed,Y,1,6
89,"Etiam laoreet,",Y,4,7
90,Curabitur massa. Vestibulum accumsan neque,N,2,9
91,enim. Nunc ut,Y,3,9
92,"diam nunc, ullamcorper eu, euismod ac,",Y,5,2
93,"Aliquam tincidunt, nunc ac mattis ornare,",Y,5,7
94,"eu,",N,4,6
95,Morbi quis urna. Nunc quis arcu,N,3,9
96,ultricies dignissim lacus. Aliquam rutrum lorem,N,6,2
97,Nunc quis arcu vel quam dignissim pharetra.,Y,8,6
98,metus. In nec orci. Donec nibh. Quisque nonummy ipsum non,N,7,2
99,"odio. Etiam ligula tortor, dictum eu, placerat eget, venenatis",N,2,1
100,ligula. Aenean gravida nunc sed pede. Cum,N,7,5
